subject_id	source_language	translation_language	predicate_id	source_value	translation_status	translation_value
HP:0041181	en	fr	rdfs:label	Fractured distal phalanx of pedal digit 3	AUTOMATIC	Fractured distal phalanx of pedal digit 3
HP:0041182	en	fr	rdfs:label	Fractured middle phalanx of manual digit 2	AUTOMATIC	Fractured middle phalanx of manual digit 2
HP:0041183	en	fr	rdfs:label	Fractured middle phalanx of manual digit 3	AUTOMATIC	Fractured middle phalanx of manual digit 3
HP:0041184	en	fr	rdfs:label	Fractured middle phalanx of manual digit 4	AUTOMATIC	Fractured middle phalanx of manual digit 4
HP:0041185	en	fr	rdfs:label	Fractured middle phalanx of manual digit 5	AUTOMATIC	Fractured middle phalanx of manual digit 5
HP:0041186	en	fr	rdfs:label	Fractured middle phalanx of pedal digit 3	AUTOMATIC	Fractured middle phalanx of pedal digit 3
HP:0041187	en	fr	rdfs:label	Fractured proximal phalanx of pedal digit 1	AUTOMATIC	Fractured proximal phalanx of pedal digit 1
HP:0041188	en	fr	rdfs:label	Fractured proximal phalanx of manual digit 1	AUTOMATIC	Fractured proximal phalanx of manual digit 1
HP:0041189	en	fr	rdfs:label	Fractured epiphysis of femur	AUTOMATIC	Fractured epiphysis of femur
HP:0041190	en	fr	rdfs:label	Fractured epiphysis of second metacarpal bone	AUTOMATIC	Fractured epiphysis of second metacarpal bone
HP:0041191	en	fr	rdfs:label	Fractured epiphysis of third metacarpal bone	AUTOMATIC	Fractured epiphysis of third metacarpal bone
HP:0041192	en	fr	rdfs:label	Fractured epiphysis of fourth metacarpal bone	AUTOMATIC	Fractured epiphysis of fourth metacarpal bone
HP:0041193	en	fr	rdfs:label	Fractured epiphysis of first metatarsal bone	AUTOMATIC	Fractured epiphysis of first metatarsal bone
HP:0041194	en	fr	rdfs:label	Fractured epiphysis of second metatarsal bone	AUTOMATIC	Fractured epiphysis of second metatarsal bone
HP:0041195	en	fr	rdfs:label	Fractured epiphysis of third metatarsal bone	AUTOMATIC	Fractured epiphysis of third metatarsal bone
HP:0041196	en	fr	rdfs:label	Fractured distal epiphysis of radius	AUTOMATIC	Fractured distal epiphysis of radius
HP:0041197	en	fr	rdfs:label	Fractured proximal epiphysis of first metacarpal bone	AUTOMATIC	Fractured proximal epiphysis of first metacarpal bone
HP:0041198	en	fr	rdfs:label	Fractured proximal epiphysis of middle phalanx of manual digit 3	AUTOMATIC	Fractured proximal epiphysis of middle phalanx of manual digit 3
HP:0041199	en	fr	rdfs:label	Fractured interphalangeal joint	AUTOMATIC	Fractured interphalangeal joint
HP:0041200	en	fr	rdfs:label	Fractured sternal end of clavicle	AUTOMATIC	Fractured sternal end of clavicle
HP:0041209	en	fr	rdfs:label	Fractured epiphysis of middle phalanx of manus	AUTOMATIC	Fractured epiphysis of middle phalanx of manus
HP:0041210	en	fr	rdfs:label	Fractured lateral malleolus of fibula	AUTOMATIC	Fractured lateral malleolus of fibula
HP:0041211	en	fr	rdfs:label	Fractured proximal phalanx of digit 2	AUTOMATIC	Fractured proximal phalanx of digit 2
HP:0041212	en	fr	rdfs:label	Fractured proximal phalanx of digit 3	AUTOMATIC	Fractured proximal phalanx of digit 3
HP:0041213	en	fr	rdfs:label	Fractured proximal phalanx of digit 4	AUTOMATIC	Fractured proximal phalanx of digit 4
HP:0041214	en	fr	rdfs:label	Fractured proximal phalanx of digit 5	AUTOMATIC	Fractured proximal phalanx of digit 5
HP:0041215	en	fr	rdfs:label	Fractured fused metatarsal bones 2-4	AUTOMATIC	Fractured fused metatarsal bones 2-4
HP:0041216	en	fr	rdfs:label	Fractured distal epiphysis of distal phalanx of manual digit 1	AUTOMATIC	Fractured distal epiphysis of distal phalanx of manual digit 1
HP:0041217	en	fr	rdfs:label	Fractured shoulder	AUTOMATIC	Fractured shoulder
HP:0041218	en	fr	rdfs:label	Fractured distal phalanx	AUTOMATIC	Fractured distal phalanx
HP:0041219	en	fr	rdfs:label	Elbow fracture	AUTOMATIC	Elbow fracture
HP:0041220	en	fr	rdfs:label	Fractured facial bone	AUTOMATIC	Fractured facial bone
HP:0041221	en	fr	rdfs:label	Fractured head of femur	AUTOMATIC	Fractured head of femur
HP:0041222	en	fr	rdfs:label	Fractured fibula	AUTOMATIC	Fractured fibula
HP:0041223	en	fr	rdfs:label	Fractured metatarsal bone of digit 5	AUTOMATIC	Fractured metatarsal bone of digit 5
HP:0041224	en	fr	rdfs:label	Fractured manual digit bone	AUTOMATIC	Fractured manual digit bone
HP:0041225	en	fr	rdfs:label	Fractured 1st metacarpal	AUTOMATIC	Fractured 1st metacarpal
HP:0041226	en	fr	rdfs:label	Fractured distal tarsal bone	AUTOMATIC	Fractured distal tarsal bone
HP:0041227	en	fr	rdfs:label	Fractured distal tarsal bone 2	AUTOMATIC	Fractured distal tarsal bone 2
HP:0041228	en	fr	rdfs:label	Fractured distal tarsal bone 3	AUTOMATIC	Fractured distal tarsal bone 3
HP:0041230	en	fr	rdfs:label	Fractured metatarsal bone of digit 4	AUTOMATIC	Fractured metatarsal bone of digit 4
HP:0041231	en	fr	rdfs:label	Fractured metatarsal bone of digit 1	AUTOMATIC	Fractured metatarsal bone of digit 1
HP:0041233	en	fr	rdfs:label	Fractured ilium	AUTOMATIC	Fractured ilium
HP:0041234	en	fr	rdfs:label	Fractured bone of jaw	AUTOMATIC	Fractured bone of jaw
HP:0041235	en	fr	rdfs:label	Fractured hindlimb bone	AUTOMATIC	Fractured hindlimb bone
HP:0041236	en	fr	rdfs:label	Fractured middle phalanx of finger	AUTOMATIC	Fractured middle phalanx of finger
HP:0041237	en	fr	rdfs:label	Fractured patella	AUTOMATIC	Fractured patella
HP:0041239	en	fr	rdfs:label	Fractured thumb phalanx	AUTOMATIC	Fractured thumb phalanx
HP:0041240	en	fr	rdfs:label	Toe phalanx fracture	AUTOMATIC	Toe phalanx fracture
HP:0041241	en	fr	rdfs:label	Fractured finger phalanx	AUTOMATIC	Fractured finger phalanx
HP:0041243	en	fr	rdfs:label	Fractured proximal phalanx of finger	AUTOMATIC	Fractured proximal phalanx of finger
HP:0041244	en	fr	rdfs:label	Fractured scapula	AUTOMATIC	Fractured scapula
HP:0041245	en	fr	rdfs:label	Fractured shoulder bone	AUTOMATIC	Fractured shoulder bone
HP:0041246	en	fr	rdfs:label	Fractured sternum	AUTOMATIC	Fractured sternum
HP:0041247	en	fr	rdfs:label	Fractured tarsal bone	AUTOMATIC	Fractured tarsal bone
HP:0041248	en	fr	rdfs:label	Fractured carpal bone	AUTOMATIC	Fractured carpal bone
HP:0041249	en	fr	rdfs:label	Fractured nose	AUTOMATIC	Fractured nose
HP:0046502	en	fr	rdfs:label	Anorgasmia	AUTOMATIC	Anorgasmia
HP:0046503	en	fr	rdfs:label	Increased libido	AUTOMATIC	Increased libido
HP:0046504	en	fr	rdfs:label	Decreased libido	AUTOMATIC	Decreased libido
HP:0046505	en	fr	rdfs:label	Hand pain	AUTOMATIC	Hand pain
HP:0046506	en	fr	rdfs:label	Pain in head and neck region	AUTOMATIC	Pain in head and neck region
HP:0046507	en	fr	rdfs:label	Bradypnea	AUTOMATIC	Bradypnea
